"tokenID","name","description","file_name","external_url","background_color","attributes[Setting]","attributes[Weather]","attributes[Companion]","attributes[Light]","attributes[Signal]","attributes[Hour]","attributes[Mood]","attributes[Palette]","attributes[Edition]","attributes[Medium]"
1,"After Hours #1 — Tape Hiss, 2:14 AM","A sleeping cat, a warm tuner, and rain writing on the glass. The tape has been looping since yesterday. After Hours is a 50-piece open edition. Token 1 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-01.png","https://afterhours.open/piece/1","100e0c","Bedroom","Rain","Calico cat","Desk lamp","FM 89.7","2:14 AM","Hushed","Teal & burnt orange","Open Edition","Still PNG"
2,"After Hours #2 — Last Train Window","The last car heading out of town. City lights smear into the rain and nobody claims the backpack. After Hours is a 50-piece open edition. Token 2 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-02.png","https://afterhours.open/piece/2","100e0c","Train","Rain","Forgotten backpack","Overhead lamp","AM 1240","11:48 PM","In transit","Cobalt & amber","Open Edition","Still PNG"
3,"After Hours #3 — Convenience Fog","Fog against the automatic doors. The coffee is still too hot and the magazines have nobody to sell to. After Hours is a 50-piece open edition. Token 3 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-03.png","https://afterhours.open/piece/3","100e0c","Konbini","Fog","Canned coffee","Fluorescent","FM 76.1","2:03 AM","Sterile calm","Mint & warm yellow","Open Edition","Still PNG"
4,"After Hours #4 — Vinyl Basement","Crates of records under a single warm bulb. The turntable is still spinning something you almost remember. After Hours is a 50-piece open edition. Token 4 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-04.png","https://afterhours.open/piece/4","100e0c","Record shop","Clear","Dust motes","Edison bulbs","FM 91.3","1:20 AM","Dusty","Tobacco & gold","Open Edition","Still PNG"
5,"After Hours #5 — Laundry on the Roof","Sheets becoming flags. The city is a quiet instrument under the clotheslines. After Hours is a 50-piece open edition. Token 5 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-05.png","https://afterhours.open/piece/5","100e0c","Rooftop","Clear","Kettle","String lights","FM 80.0","12:41 AM","Open air","Silver-blue & peach","Open Edition","Still PNG"
6,"After Hours #6 — Closing Time Pour","Chairs already up. One cup left on the wood, rain rehearsing on the window. After Hours is a 50-piece open edition. Token 6 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-06.png","https://afterhours.open/piece/6","100e0c","Cafe","Rain","Last cup","Shop lamps","FM 82.5","10:59 PM","Tender","Cream & espresso","Open Edition","Still PNG"
7,"After Hours #7 — The Quiet Tank","The only conversation left is bubbles. The rest of the apartment has gone dark on purpose. After Hours is a 50-piece open edition. Token 7 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-07.png","https://afterhours.open/piece/7","100e0c","Apartment","Clear","Orange fish","Aquarium glow","AM 810","1:07 AM","Submerged","Aqua & plum","Open Edition","Still PNG"
8,"After Hours #8 — Desk Lamp Botany","Notes, tea, and a plant that has outgrown the assignment. The street outside is already asleep. After Hours is a 50-piece open edition. Token 8 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-08.png","https://afterhours.open/piece/8","100e0c","Study","Clear","Monstera","Brass lamp","FM 88.1","12:22 AM","Focused","Forest & honey","Open Edition","Still PNG"
9,"After Hours #9 — Night Spin Cycle","One machine still working. The rest of the night is a circle of glass and suds. After Hours is a 50-piece open edition. Token 9 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-09.png","https://afterhours.open/piece/9","100e0c","Laundromat","Rain","Blue laundry","Machine windows","FM 77.8","1:55 AM","Mechanical","Powder blue & peach","Open Edition","Still PNG"
10,"After Hours #10 — Empty High Score","The high scores are still glowing for nobody. Coins sleep in the slots. After Hours is a 50-piece open edition. Token 10 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-10.png","https://afterhours.open/piece/10","100e0c","Arcade","Clear","Cabinets","Cabinet neon","FM 93.0","3:11 AM","Electric leftover","Magenta & void","Open Edition","Still PNG"
